Company Name,Current Price,Change in price,Open price,Close Price,Upper Circuit,Lower Circuit,Volume,VWAP,Market Cap,Average Vol20,Average Delivery,Face Value,TTM EPS,TTM PE,Sector PE,Book Value
Precision Camshafts Ltd.,176.85,8.70 (5.17%),172.50,168.15,201.75,134.55,"1,111,192.00",173.94,"1,680","651,165",39.15,10.00,2.43,72.78,48.02,67.67
Tata Consultancy Services Ltd.,3883.00,3.15 (0.08%),"3,856.00","3,879.85","4,267.80","3,491.90","679,223.00","3,883.57","1,436,342","2,101,681",60.12,1.00,98.89,39.27,43.99,235.49
Infosys Ltd.,1859.45,8.70 (0.47%),"1,855.00","1,850.75","2,035.80","1,665.70","1,579,359.00","1,860.11","782,014","5,309,235",59.47,5.00,49.67,37.44,43.99,181.64
HCL Technologies Ltd.,1330.00,41.90 (3.25%),"1,288.65","1,288.10","1,416.90","1,159.30","2,675,661.00","1,314.30","360,917","4,007,935",53.49,2.00,42.51,31.29,43.99,221.40
IDFC First Bank  Ltd.,49.45,-0.35 (-0.70%),50.00,49.80,54.75,44.85,"13,361,862.00",49.94,"30,734","26,339,133",24.62,10.00,-0.38,--,31.69,31.03
MRF Ltd.,74152.00,-134.40 (-0.18%),"74,286.00","74,286.40","81,715.00","66,857.80","1,912.00","74,215.37","31,449","8,100",37.88,10.00,"2,846.71",26.05,26.09,"31,627.82"
State Bank of India,504.00,0.35 (0.07%),503.00,503.65,554.00,453.30,"6,667,404.00",502.22,"449,711","15,500,157",35.08,1.00,32.11,15.69,21.19,293.13
Indian Railway Finance Corporation Ltd.,22.95,0.00 (0.00%),22.95,22.95,27.50,18.40,"2,749,857.00",22.93,"29,992","6,243,818",54.49,10.00,0.00,--,4.78,--
Sun Pharmaceutical Industries Ltd.,835.30,8.60 (1.04%),830.90,826.70,909.35,744.05,"2,539,398.00",835.51,"200,416","4,669,538",52.75,1.00,26.08,32.03,38.29,206.22
Kotak Mahindra Bank Ltd.,1946.45,-1.50 (-0.08%),"1,948.00","1,947.95","2,142.70","1,753.20","962,029.00","1,935.41","386,156","2,995,004",60.84,5.00,50.33,38.67,31.69,425.11
Precision Camshafts Ltd.,176.85,8.70 (5.17%),172.50,168.15,201.75,134.55,"1,111,192.00",173.94,"1,680","651,165",39.15,10.00,2.43,72.78,48.02,67.67
Tata Motors Ltd.,505.30,1.60 (0.32%),503.00,503.70,554.05,453.35,"8,546,792.00",504.66,"167,788","18,989,788",25.63,2.00,-40.93,--,57.90,170.81
Yes Bank Ltd.,13.95,-0.05 (-0.36%),14.10,14.00,16.80,11.20,"36,809,418.00",13.99,"34,952","128,914,180",34.69,2.00,-1.28,--,31.69,13.23
Reliance Industries Ltd.,2464.65,26.65 (1.09%),"2,436.00","2,438.00","2,681.80","2,194.20","2,134,237.00","2,455.85","1,667,109","5,637,139",55.00,10.00,77.29,31.89,24.36,"1,240.43"
Bank Of Baroda,92.65,0.50 (0.54%),92.20,92.15,101.35,82.95,"13,061,318.00",92.03,"47,913","26,815,352",23.84,2.00,7.51,12.34,21.19,160.16
IDBI Bank Ltd.,51.65,-0.15 (-0.29%),51.80,51.80,62.15,41.45,"4,753,441.00",51.63,"55,536","11,951,408",28.31,10.00,2.06,25.07,21.19,29.26
IDFC First Bank  Ltd.,49.45,-0.35 (-0.70%),50.00,49.80,54.75,44.85,"13,409,395.00",49.94,"30,734","26,339,133",24.62,10.00,-0.38,--,31.69,31.03
Bank Of India,55.30,-0.15 (-0.27%),55.40,55.45,66.50,44.40,"1,401,769.00",55.15,"22,693","4,367,872",39.08,10.00,6.10,9.07,21.19,113.03
UCO Bank,13.35,-0.15 (-1.11%),13.50,13.50,16.20,10.80,"1,932,087.00",13.39,"15,961","2,659,807",43.63,10.00,0.00,--,21.19,--
HDFC Bank Ltd.,1557.95,-1.20 (-0.08%),"1,561.55","1,559.15","1,715.05","1,403.25","1,644,882.00","1,555.08","863,478","4,874,866",60.69,1.00,61.74,25.23,31.69,379.70
Indian Railway Finance Corporation Ltd.,22.95,0.00 (0.00%),22.95,22.95,27.50,18.40,"2,749,857.00",22.93,"29,992","6,243,818",54.49,10.00,0.00,--,4.78,--
Adani Green Energy Ltd.,1446.25,7.35 (0.51%),"1,448.00","1,438.90","1,582.75","1,295.05","63,756.00","1,442.37","226,196","498,635",75.77,10.00,2.99,483.70,24.36,5.03
Torrent Power Ltd.,586.25,11.35 (1.97%),576.00,574.90,632.35,517.45,"478,597.00",585.39,"28,176","832,444",26.65,10.00,26.87,21.82,24.36,212.66
